Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C4",0603,2,12pF,C1642
"C2, C5",0603,2,4.7uF,C19666
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D4, D5, D6, D7, D8, D9",D_SOD-323_HandSoldering,36,D_Small,C2128
D39,1206,1,RED, C375561
D40,D_SOD-323_HandSoldering,1,1N5819,C21714236
"H1, H2, H3, H4",M2_Hole_TH_mod,4,MountingHole,
J1,connector_swd_REV,1,SWD,
J2,Battery_TH,1,Battery,
J4,JST_SH_SM02B-SRSS-TB_1x02-1MP_P1.00mm_Horizontal,1,Battery JST,C160402
J5,CON_TC2030_outlined,1,TC2030_SWD,
"K1, K10, K11, K12, K13, K14, K15, K16, K17, K18, K19, K2, K20, K21, K22, K23, K24, K25, K26, K27, K28, K29, K3, K30, K31, K32, K33, K34, K35, K36, K37, K38, K4, K5, K6, K7, K8, K9",SW_Hotswap_Kailh_MX_Plated_1.00u pinswap,38,KEYSW,
L3,0603,1,10uH,C275361
Q1,SOT-23_Handsoldering,1,AO3407,C5148473
"R3, R6",0603,2,1K,C22548
R4,0603,1,3K,C4211
R7,0603,1,100K,C14675
"RSW1, RSW2",SW_SPST_EVQP7C,2,SW_PUSH,C388883
"S1, S2",STAB_MX_P_2u,2,Stabilizer,
U1,SOT-23-5_HandSoldering,1,TP4054,C424093
U3,E73-2G4M08S1C-52840,1,E73-2G4M08S1C-52840,C356849
X1,Crystal_SMD_MicroCrystal_CM9V-T1A-2Pin_1.6x1.0mm_HandSoldering,1,32.768kHz,C383846
